Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2020","2020","7021","Annual value","USD","510.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2021","2021","7021","Annual value","USD","590.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2022","2022","7021","Annual value","USD","557.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2023","2023","7021","Annual value","USD","743.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2020","2020","7021","Annual value","USD","724.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2021","2021","7021","Annual value","USD","1243.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2022","2022","7021","Annual value","USD","893.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2023","2023","7021","Annual value","USD","1399.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2020","2020","7021","Annual value","USD","286.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","312.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2022","2022","7021","Annual value","USD","396.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2023","2023","7021","Annual value","USD","440.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2020","2020","7021","Annual value","USD","2100.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2021","2021","7021","Annual value","USD","2356.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2022","2022","7021","Annual value","USD","2328.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2023","2023","7021","Annual value","USD","2877.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2020","2020","7021","Annual value","USD","261.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2021","2021","7021","Annual value","USD","317.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2022","2022","7021","Annual value","USD","341","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2023","2023","7021","Annual value","USD","398.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2020","2020","7021","Annual value","USD","506.2","A","Official figure"
